,subs,views,week,start_date,end_date,subs_cumsum,views_cumsum
112,3805.0,1588555.0,113,2023-10-02,2023-10-08,293296.0,132008689.0
113,2535.0,1301756.0,114,2023-10-09,2023-10-15,295831.0,133310445.0
114,2535.0,1201340.0,115,2023-10-16,2023-10-22,298366.0,134511785.0
115,3805.0,950588.0,116,2023-10-23,2023-10-29,302171.0,135462373.0
116,6344.0,2698849.0,117,2023-10-30,2023-11-05,308515.0,138161222.0
117,3805.0,2112499.0,118,2023-11-06,2023-11-12,312320.0,140273721.0
118,5074.0,1677372.0,119,2023-11-13,2023-11-19,317394.0,141951093.0
119,3805.0,1318637.0,120,2023-11-20,2023-11-26,321199.0,143269730.0
120,3805.0,1216452.0,121,2023-11-27,2023-12-03,325004.0,144486182.0
121,2535.0,1274343.0,122,2023-12-04,2023-12-10,327539.0,145760525.0
122,3805.0,1882573.0,123,2023-12-11,2023-12-17,331344.0,147643098.0
123,3805.0,1815588.0,124,2023-12-18,2023-12-24,335149.0,149458686.0
124,6344.0,3656794.0,125,2023-12-25,2023-12-31,341493.0,153115480.0
125,6344.0,3365691.0,126,2024-01-01,2024-01-07,347837.0,156481171.0
126,5074.0,1611020.0,127,2024-01-08,2024-01-14,352911.0,158092191.0
127,3805.0,1588897.0,128,2024-01-15,2024-01-21,356716.0,159681088.0
128,2535.0,1266592.0,129,2024-01-22,2024-01-28,359251.0,160947680.0
129,3805.0,2268206.0,130,2024-01-29,2024-02-04,363056.0,163215886.0
130,5074.0,3121896.0,131,2024-02-05,2024-02-11,368130.0,166337782.0
131,3805.0,2763831.0,132,2024-02-12,2024-02-18,371935.0,169101613.0
132,5074.0,2103892.0,133,2024-02-19,2024-02-25,377009.0,171205505.0
133,2535.0,2037066.0,134,2024-02-26,2024-03-03,379544.0,173242571.0
134,21578.0,2184346.0,135,2024-03-04,2024-03-10,401122.0,175426917.0
135,35543.0,3407600.0,136,2024-03-11,2024-03-17,436665.0,178834517.0
136,41890.0,5854670.0,137,2024-03-18,2024-03-24,478555.0,184689187.0
137,20309.0,2247502.0,138,2024-03-25,2024-03-31,498864.0,186936689.0
138,12691.0,1777848.0,139,2024-04-01,2024-04-07,511555.0,188714537.0
139,12691.0,2425682.0,140,2024-04-08,2024-04-14,524246.0,191140219.0
140,8883.0,1656796.0,141,2024-04-15,2024-04-21,533129.0,192797015.0
141,7613.0,1419500.0,142,2024-04-22,2024-04-28,540742.0,194216515.0
142,10152.0,1589970.0,143,2024-04-29,2024-05-05,550894.0,195806485.0
143,12691.0,1777353.0,144,2024-05-06,2024-05-12,563585.0,197583838.0
144,8883.0,1683185.0,145,2024-05-13,2024-05-19,572468.0,199267023.0
145,11422.0,4580216.0,146,2024-05-20,2024-05-26,583890.0,203847239.0
146,11422.0,3213134.0,147,2024-05-27,2024-06-02,595312.0,207060373.0
147,12691.0,2387958.0,148,2024-06-03,2024-06-09,608003.0,209448331.0
148,11422.0,2445306.0,149,2024-06-10,2024-06-16,619425.0,211893637.0
149,10152.0,3286959.0,150,2024-06-17,2024-06-23,629577.0,215180596.0
150,10152.0,3436727.0,151,2024-06-24,2024-06-30,639729.0,218617323.0
151,19039.0,3015585.0,152,2024-07-01,2024-07-07,658768.0,221632908.0
152,12691.0,3585000.0,153,2024-07-08,2024-07-14,671459.0,225217908.0
153,8883.0,1950579.0,154,2024-07-15,2024-07-21,680342.0,227168487.0
154,15230.0,4201086.0,155,2024-07-22,2024-07-28,695572.0,231369573.0
155,11422.0,3759349.0,156,2024-07-29,2024-08-04,706994.0,235128922.0
