,video_id,cluster
246,U8Rm1eZpGNQ,25
247,ZUqB-luawZg,1
248,YJMGo-1QH5k,0
249,hvUEfDnA0qg,2
250,T_lA80OdST8,0
251,d6ZpJ_DE2ag,1
252,ua1B-vXDLAA,4
253,3bSVKNKb_PY,3
254,gRCY7yVahJM,0
255,djXyYzqROP0,4
256,cpgvRFNAyks,-1
257,WKEuZ91VNCU,3
258,HV-ckR5ipwY,3
259,QyyWsr1NMt8,-1
260,AMMZfMVES3Q,2
261,5-Q0boiEqFM,16
262,JgainmuuB84,4
263,TbbEVA2qS4c,-1
264,taMP_n3wL7M,-1
265,anW5W67OEME,0
266,rmMLItPM9EY,1
267,vSfRaH-Tug4,0
268,19I-G0FLIN0,-1
269,LIBk6R97G-A,2
270,mFMNmyZv86k,0
271,5CxZbKr4ifI,4
272,1zBYwwyX460,-1
273,tJQSyzBUAew,4
274,-zJkdIQbirk,3
275,CJfck0wvaz8,-1
276,ZjkWoWf8d7c,3
277,emARlYbZIHI,4
278,ssAe9yyD92M,4
279,TEnNmdRW2W0,3
280,-ePZ7OdY-Dw,-1
281,_1d7PD5aj2s,3
282,1Y9bwzvTqtY,3
283,yUa9GNzjNro,-1
284,saNiKk06f1Y,0
285,M3ZWfamWrBM,-1
286,xucm6_BQPJU,0
287,3Ek2bEbcZyQ,4
288,K79EZnTyxl4,3
289,mvkrKwnxgLc,2
290,5MLBRMHExsI,4
291,X_uAqYVK6xY,-1
292,L-b2LgM1wdo,4
293,TsHvBr0Cw0M,0
294,3GLOh8rR2RY,-1
295,R057d0fBJM4,2
296,VyWAvY2CF9c,-1
297,aGwYtUzMQUk,3
298,5QMoNBsR5mM,-1
299,hW5l_jS3ElM,9
300,TwFGbMyhM1c,-1
301,etMrFF_JKLI,5
302,LsnLN1XTTIk,2
303,Msk8ux5Ex0s,3
304,i_LwzRVP7bg,-1
305,GR1RAMfov1U,3
306,IHZwWFHWa-w,-1
307,n3aJzBYA1tY,-1
308,hQJvatNj6hg,2
309,l6Gmh0DzDWs,4
310,EL2woThmPWM,0
311,vPoglMjsBeo,1
312,IjyZc4FLaPU,3
313,OKcy1SJHauw,0
314,_1uBf1m-11k,-1
315,qWSFcRXpjxQ,3
316,SdMzM-KmZz4,3
317,PrGQntVIEM4,0
318,PATxJ-wwcUY,-1
319,Vm3qR8GhvAY,17
320,NA4YnGtdF0A,6
321,GQRq_iowe70,3
322,oxZADyo-xWc,0
323,-fJ_NXedTvA,4
324,uleFe6dpUvc,-1
325,cifem62_R10,3
326,ZPqBa-7T3DY,3
327,MOWX2z4ZbGk,4
328,owsAQ_fiwIw,0
329,ZIvTD3eAz8M,4
330,S4htyHAujTw,3
331,DIKQOeYb4mI,3
332,I5xsDMJMdwo,1
333,lapi13J9UZA,1
334,wruyZWre2sM,0
335,RbSnPMbaBjg,-1
336,lxP_6xhClAo,3
337,oXpJzbXnB4A,0
338,zulGMYg0v6U,0
339,mccsmoh2_3c,0
340,uwNeIuns-UE,0
341,fXIHmSQvUvo,0
342,NxXqF23i2rU,4
343,MjxARo2gN4M,3
344,hPrn6Smepbk,2
345,hLet5dIb7ic,-1
346,EzE39NTk9Wo,13
347,wtolixa9XTg,2
348,H4OBs3cwfAc,4
349,0Hg7XhbXuac,-1
350,b4aE9gWpr0A,4
351,0BEsyjpI4q8,3
352,ge_-o0RfrgM,7
353,RwR8QttwPVU,2
354,J7d9gevXEus,0
355,9MbT1F_0ge4,-1
356,6IYrOPCEdH4,0
357,NxTzxE5VFKg,0
358,D2JY38VShxI,1
359,n1uj9-zyEbQ,3
360,mzS3YPLJNnE,3
361,dNQp-L2jw6w,3
362,dDUObzNPXC8,2
363,0fWKCDGMs80,-1
364,sGo8LmY_lXY,-1
365,iIkJrwVUl1c,-1
366,pgQVAxtUqWw,3
367,wkGirJ91SFg,3
368,e9aseCYvKBs,3
369,lVGDwRNH48k,4
370,NoMpupqag2Y,5
371,bxK3MfoEkNI,2
372,duzLJn8bzFM,0
373,XRN75-0WZRA,2
374,UfxIilpKkoE,4
375,5XnNom5YUk4,0
376,V1-BGUrWs98,-1
377,a8JDVDh0G-I,1
378,8UxT23ywTFA,-1
379,2aXm5h8lenQ,0
380,LQ-lYJBDPC8,3
381,UThpehDG7EE,2
382,64gbU0KBPK4,-1
383,sJXn4Cl4oww,-1
384,MyvOfDFZvgE,0
385,AB8DGFuQvn8,3
386,eRXqD-7FANg,-1
387,M7WdWtlb_3E,1
388,3iVRr_lWM-8,13
389,eaKc9Z7P3ng,3
390,bfmFfD2RIcg,-1
391,U7TH6-SAho8,-1
392,VNYS404znrw,3
393,4cZUH_xW2jc,3
394,dMWd-jX1Gag,0
395,p0dKVtAcrZM,3
396,Wf8mTmPdK8c,4
397,9A9lDqgS224,4
398,WujkSDfzEoY,3
399,6Hm1pNqQxq0,-1
400,9IYkMiYhpX4,3
401,C1Dt4gVW_Mk,4
402,NIKU0S1kxP8,15
403,hxT3lgQAL0g,1
404,6CEa9B1p8z8,-1
405,lfjrdtDyHe0,14
406,hecQchiwUy8,2
407,X5n8IigmZ7o,2
408,gJFH_eEJC64,2
409,HePaUUxJrLg,3
410,UQJmvObJJl0,-1
411,6TcEN77b9-I,-1
412,dTq3y43-N0k,3
413,DNRPFFnigv8,-1
414,0p0o5cmgLdE,1
415,bxoWgMjhmR0,0
416,mw7m-TUcnqw,3
417,WSbgixdC9g8,-1
418,gzdS4c4IyYw,2
419,Tzb_CSRO-0g,-1
420,eXdVDhOGqoE,-1
421,FKN5DSKzCPc,3
422,FHlU_ankbCo,16
423,iu9hAw9PCW8,9
424,BqokGCf1_jA,3
425,8duf31d6oyY,-1
426,NXUyqA1UqYI,2
427,ODq_c3YyU9Y,0
428,yHXatUO6h28,2
429,XV2XPZjgyms,4
430,-bRMENGVmhs,2
431,oZQ5QL649eI,4
432,jFBpoLdkcMo,0
433,NLJtHDi9EWs,-1
434,wlNJiBWklzg,-1
435,gqXTs-1ZEfg,-1
436,7O60HOZRLng,-1
437,kQl45ophSVQ,2
438,1Gx1y2boe_M,0
439,zNxw5gJtHLc,4
440,9dTzuAlxOLY,2
441,4H1CQ7Dmt7Q,2
442,4RixMPF4xis,-1
443,XjctB-Hq1qE,3
444,iwlZA0-p9Xs,3
445,6N31dR3a4zw,3
446,wbJQTtjlM_w,-1
