video_id,viewCount,likeCount,commentCount,total_comments_likes,licensed,duration,video_age_days,weighted_sentiment,subscriber_count,video_count,view_count,channel_age_days,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Music,category_News & Politics,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Sports,category_Travel & Events,cluster
7eveKBGUAfk,-0.08590721194866867,-0.05329726727463357,-0.15117101048776826,-0.10581020253807427,1.0807404868885035,-0.3777219626023049,-0.5997571924988162,0.37929754899451396,-0.26331250163180947,-0.20541322819921656,-0.24546525991067433,0.3256928527672687,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,0
XbpRj6CTET0,-0.18423901744078722,-0.13530953949820643,-0.16804358028352856,-0.1077312286789071,-0.9252915127470066,0.12744241557177582,-1.2015737642408535,-1.1013734737695278,-0.29041897314883525,-0.23021259775324174,-0.2619455271298435,0.8300754919645176,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,1.4324111846120866,-0.019213013923474496,-0.06085806194501845,1
2r_551Fmplo,-0.1841380183133086,-0.13530953949820643,-0.16754732823071208,-0.1077312286789071,-0.9252915127470066,0.0008513421813589285,-0.13367968783632034,1.6808674518493898,-0.2912395337635649,-0.23421249606840708,-0.2621951001704665,-0.8706878857290505,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,4
7uLzGRlXXDw,-0.14480801305205415,-0.0974633352135073,-0.13082467632229264,-0.10440945431038368,1.0807404868885035,-0.23073232762291085,-0.3282790583397336,0.8631913929946277,-0.07562767718544741,-0.17488600425787462,-0.17773901160165484,0.7636394225233625,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,0
dMVLd5URpvs,-0.1645347373716961,-0.13258017574917488,-0.16556232001944615,-0.10765118592303906,-0.9252915127470066,0.9616835887915611,3.807558180198858,0.7262010976716646,-0.2812482527734413,-0.23430849362797107,-0.258873496420059,1.1968025952796932,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,-1
NqDDk_Tcro8,-0.1838397460362518,-0.13493005576839454,-0.1665548241250791,-0.1077312286789071,1.0807404868885035,-0.33962464904642115,-0.5877448856776178,1.6808674518493898,-0.2849635155099222,-0.2077171696287518,-0.25721015837166145,-0.009676425771681714,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,0
KVJDmujRpCM,-0.18407600130520768,-0.1352073708017186,-0.16804358028352856,-0.1077312286789071,1.0807404868885035,-0.37322227989885404,-0.6910507243399236,-1.1013734737695278,-0.28920190432136733,-0.19837340716452556,-0.26124617491409724,-0.7463195637352084,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,5
zEoXnEqChHQ,-0.18402520642238215,-0.13513439316137016,-0.16804358028352856,-0.1077312286789071,-0.9252915127470066,-0.3849214549278262,0.18704890428967555,-1.1013734737695278,-0.291072987502964,-0.2071091850848467,-0.2620519128780724,-0.7447250980686206,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,4
SgE6D--y_3o,1.6623841408773858,1.3370727366437771,4.5309671078357106,2.2723801384350266,-0.9252915127470066,-0.37412221643954424,-0.6249830368233328,-0.7905965550523963,-0.28637275309962185,-0.23389250420319385,-0.25780282911614155,-1.3841058303702964,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,1.4324111846120866,-0.019213013923474496,-0.06085806194501845,-1
gsqCpz5pkJI,-0.18426973062575147,-0.13533873055434578,-0.16804358028352856,-0.1077312286789071,-0.9252915127470066,-0.38222164530575575,-1.2027749949229734,-1.1013734737695278,-0.29128351905803124,-0.23587645376751587,-0.26220495323609183,-0.03306192221496827,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,3
