,video_id,final_emotion_score,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise
927,fvtrRGmv7aU,0.20738315301945673,0.06410375733817504,0.4251889319469531,0.08026777314288276,0.06058931936406427,0.03618616302394205,0.035953719168901443,0.17842268319800497,0.007592000377674897,0.18302445858716965,0.0709949325537309,0.034432157035917045,0.02620516181923449,0.0,0.022406928474083543,0.0,0.8758284211158752,0.0,0.0653377172537148,0.07834476977586746,0.0,0.7286907244304365,0.45706891897134483,0.0,0.010426812050108975,0.0,0.0,0.04026222601532936,0.014630618505179882
928,05KLnErGQnY,0.3269167698127332,0.2733723087391506,0.04521406162530184,0.017410648870281875,0.03669676653490486,0.01960883700047378,0.01949647068977356,0.004151041153818369,0.01384618948213756,0.13591626286506653,0.03676923496338228,0.005648923106491566,0.11432714915523927,0.0,0.1182325851275689,0.0,0.2519497483735904,0.0,0.021256898685048025,0.0,0.0,0.6860306667804252,0.4563803293276578,0.0,0.006089814502047375,0.0,0.0,0.041326170321553946,0.44461887888610363
929,IssB4wkge4o,0.24023766800202517,0.20713924769805664,0.04794689763803035,0.0896338488382753,0.00905899018033455,0.029707031487182237,0.25958858942613006,0.0212159691077164,0.00895912853801357,0.1592024564743042,0.06082068686373532,0.010765017990982442,0.0,0.0,0.019418486552312972,0.4254254090289275,0.47000434636720456,0.0,0.07490092464722693,0.38948058363582405,0.037308139726519585,0.7302524941120329,0.036752853151410816,0.13259628415107727,0.006371738099778405,0.0,0.0,0.0941846058703959,0.033402640372514725
930,GrVWqiFyxdk,0.8343846095459801,0.3532031021313742,0.0,0.0,0.006819153670221567,0.05857628560625017,0.0,0.0,0.0,0.0,0.05507446825504303,0.07876050472259521,0.0,0.0,0.0,0.0,0.9664598107337952,0.0,0.0,0.0,0.0,0.2575803962536156,0.0059173377230763435,0.0,0.01611881284043193,0.0,0.0,0.0,0.0
931,OXwZtlcTiuk,0.36852624420440777,0.2634194971760735,0.0,0.004118045495653694,0.010625735094601458,0.030966661336521307,0.21603779518045485,0.012413907880810175,0.0396708648186177,0.017474231775850058,0.04743575910106301,0.006732421568953074,0.0,0.0,0.010205782251432538,0.0,0.7077694469216195,0.0,0.0,0.004463014658540487,0.0,0.6795689568721822,0.058554049527559146,0.0,0.008008474537522578,0.0,0.0,0.08416717872023582,0.0
932,Yzk0_r_ZWZg,0.003059125505387783,0.0,0.0,0.0,0.010280312038958073,0.010934856720268726,0.0,0.0,0.0,0.0,0.003484695451334119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966009259223938,0.0,0.0,0.005114939995110035,0.0,0.0,0.0,0.0
933,S5t6K9iwcdw,-0.015158361916699632,0.20314383997167207,0.49551055737009103,0.11805040230707373,0.04731094670395441,0.04604425154157117,0.17507672884191075,0.07603266622628206,0.08199070395830159,0.09945148369297385,0.06645297646715209,0.1082094827137303,0.13745084937351446,0.12329207064414566,0.10457168676963959,0.3399390934424086,0.22551904329253983,0.022739683898786705,0.08868163490700906,0.38981695412140754,0.08041590871289372,0.6278442462739523,0.1077385255495425,0.06803604308515787,0.013655939291559414,0.04086306318640709,0.6322810264925162,0.1312928930915232,0.257338626182548
934,7R52wiUgxZI,0.47219339016159306,0.2770611149049839,0.2813869952224195,0.18014392140321434,0.022634555593997772,0.03259386635029021,0.026575783267617226,0.16796982660889626,0.025085913308430463,0.042095630429685116,0.01992060217474188,0.024858156300109367,0.024772958441947896,0.0,0.1856806432562215,0.0,0.6904538753054416,0.0,0.08554255959045674,0.5666748686693609,0.0,0.5734812209737443,0.1926436829380691,0.0,0.0075272041990851555,0.020158806815743446,0.0,0.24769634008407593,0.1571019859984517
935,YT-lPqYbv9k,0.9855600595474243,0.0554756224155426,0.0,0.0,0.0,0.020932359620928764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9890398979187012,0.0,0.0,0.0,0.0,0.009472742676734924,0.006522422190755606,0.0,0.0,0.0,0.0,0.0,0.0
936,0oyCUWLL_fU,0.5099225292266497,0.28370952976757063,0.3213404715061188,0.21115850599016994,0.03194611894146523,0.04574447029947557,0.396165719255805,0.2464382026810199,0.06795255374163389,0.1848434737883508,0.11028653625398874,0.0498620728363416,0.13229594752192497,0.0,0.22692784707760438,0.6410925984382629,0.6306586228191662,0.0,0.021142425227232954,0.6289335251785815,0.21135501563549042,0.44360412064155463,0.09075238964786488,0.0,0.009768714950907798,0.0,0.0,0.053225018084049225,0.28030431270599365
937,_eYDNcSYUCA,0.16403630661484114,0.20695102143790103,0.5125337516176788,0.08219608430226799,0.05686640303574061,0.05462174284101272,0.16945734148083086,0.05740512145712273,0.06332955230027437,0.042270445597491095,0.08616494279071364,0.1237063160365177,0.12393075306164592,0.16941601037979126,0.07193302070455891,0.3711307837627828,0.24948502649836565,0.03274952992796898,0.10014252475507203,0.5195932470087428,0.05244951828249863,0.6654072689421776,0.039213514218940156,0.0,0.013959643603901905,0.024956852197647095,0.1081312745809555,0.1593763364640915,0.42393788776826113
938,YJ9JPTVq-zI,0.0028446202632039785,0.0,0.0,0.003932772669941187,0.00720074912533164,0.010154473595321178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686692357063293,0.0,0.0,0.005134045612066984,0.0,0.0,0.0,0.0
